,Organization Name,IPO Status,Number of Founders,Company Type,CB Rank (Company),Operating Status,Industry Groups,Number of Employees,Estimated Revenue Range,Number of Exits,Number of Sub-Orgs,city,state,funding_status,revenue_range,no_employees,lat,lon,no_founders,industry,industry_groups,industry_groups_andreas,website,phone,email,linkedin,twitter,facebook,articles,founded_year,last_funding_year,exit_year,closed_year,no_investors,no_fund_rounds,acquired,private_ipo,company_type,operting_status,no_lead_investors,no_sub_orgs,no_exits,has_preseed,has_seed,has_series_a,has_series_b,has_series_c,has_series_d,has_series_e,has_angel,has_debt_financing,has_grant,has_corporate_round,has_series_x,has_ico,has_other_funding,preseed_fund,seed_fund,series_a_fund,series_b_fund,series_c_fund,series_d_fund,series_e_fund,private_equity_fund,seed_to_pre_ratio,a_to_seed_ratio,b_to_a_ratio,c_to_b_ratio,d_to_c_ratio,e_to_d_ratio,pe_to_e_ratio,total_funding_usd,last_funding_type,last_funding_amount,hub_tags,industry_multiples,company_valuation,months_since_founded,y
85,back,Private,2.0,For Profit,"30,347",Active,"Information Technology, Software",11-50,$1M to $10M,,,Berlin, Berlin,M&A,$1M to $10M,11-50,52.52,13.405,2.0,"['Information Technology', ' Software']",Technology and Software,-1,1,0,1,1,1,0,102.0,2018,2020.0,2022.0,,7.0,2.0,1,1,1,1,2.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,3300000.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3300000.0,Seed,3300000.0,,4.0,13200000.0,77,1
88,coachhub,Private,2.0,For Profit,"31,104",Active,"Education, Software",251-500,$100M to $500M,,,Berlin, Berlin,Late Stage Venture,$100M to $500M,251-500,52.52,13.405,2.0,"['Education', ' Software']",Education and Training,-1,1,1,1,1,1,1,43.0,2018,2022.0,,,12.0,5.0,0,1,1,1,7.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,,2000000.0,21000000.0,80000000.0,200000000.0,,,,0.0,10.5,3.809523809523809,2.5,0.0,0.0,0.0,333490482.0,Series C,200000000.0,,1.5,500235723.0,77,1
91,solytic,Private,4.0,For Profit,"32,453",Active,"Energy, Natural Resources, Sustainability",11-50,$1M to $10M,,,Berlin, Berlin,Seed,$1M to $10M,11-50,52.52,13.405,4.0,"['Energy', ' Natural Resources', ' Sustainability']",Energy and Natural Resources,-1,1,0,1,1,1,1,12.0,2017,2022.0,,,5.0,4.0,0,1,1,1,3.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,,3000000.0,3500000.0,,,,,,0.0,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,9553501.0,Corporate Round,,,1.5,14330251.5,81,0
92,matter labs,Private,2.0,For Profit,"32,613",Active,"Blockchain and Cryptocurrency, Internet Services, Other, Software",101-250,,,,Berlin, Berlin,Late Stage Venture,$100M to $500M,101-250,52.52,13.405,2.0,"['Blockchain and Cryptocurrency', ' Internet Services', ' Other', ' Software']",Technology and Software,-1,1,1,1,1,1,0,22.0,2018,2024.0,,,23.0,5.0,0,1,1,1,6.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,,2000000.0,6000000.0,50000000.0,200000000.0,,,,0.0,3.0,8.333333333333334,4.0,0.0,0.0,0.0,308000000.0,Initial Coin Offering,50000000.0,,4.0,1232000000.0,77,1
95,sympatient,Private,3.0,For Profit,"34,981",Active,"Financial Services, Hardware, Health Care, Mobile, Software",51-100,$1M to $10M,,,Hamburg, Hamburg,Early Stage Venture,$1M to $10M,51-100,53.5511,9.9937,3.0,"['Financial Services', ' Hardware', ' Health Care', ' Mobile', ' Software']",Finance and Payments,"['Blockchain and Cryptocurrency', 'Financial Services', 'Lending and Investments', 'Payments']",1,1,1,1,1,1,4.0,2017,2022.0,,,3.0,2.0,0,1,1,1,1.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,1600000.0,7500000.0,,,,,,0.0,4.6875,0.0,0.0,0.0,0.0,0.0,9144593.0,Series A,7371992.0,,3.5,32006075.5,78,1
96,pitch,Private,8.0,For Profit,"37,731",Active,"Internet Services, Other, Software",101-250,$1M to $10M,,,Berlin, Berlin,Early Stage Venture,$1M to $10M,101-250,52.52,13.405,8.0,"['Internet Services', ' Other', ' Software']",Telecommunications and Internet Services,-1,1,0,1,1,1,1,13.0,2018,2021.0,,,19.0,4.0,0,1,1,1,5.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,,3000000.0,19000000.0,85000000.0,,,,,0.0,6.333333333333333,4.473684210526316,0.0,0.0,0.0,0.0,137700711.0,Series B,85000000.0,Emerging Unicorn,4.0,550802844.0,76,1
104,finexity ag,Private,2.0,For Profit,"44,254",Active,"Blockchain and Cryptocurrency, Financial Services, Other, Real Estate",11-50,$1M to $10M,,,Hamburg, Hamburg,Seed,$1M to $10M,11-50,53.5511,9.9937,2.0,"['Blockchain and Cryptocurrency', ' Financial Services', ' Other', ' Real Estate']",Technology and Software,-1,1,1,1,1,0,1,12.0,2018,2020.0,,,2.0,4.0,0,1,1,1,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,930000.0,1300000.0,,,,,,,1.3978494623655917,0.0,0.0,0.0,0.0,0.0,0.0,3875651.0,Seed,1484187.0,,4.0,15502604.0,76,0
110,smart4diagnostics,Private,3.0,For Profit,"47,909",Active,"Health Care, Manufacturing",11-50,,,,München, Bayern,Early Stage Venture,$1M to $10M,11-50,48.1374,11.5755,3.0,"['Health Care', ' Manufacturing']",Healthcare and Biotechnology,-1,1,0,1,1,0,0,1.0,2018,2023.0,,,3.0,5.0,0,1,1,1,1.0,0.0,0.0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,,2000000.0,5000000.0,,,,,,0.0,2.5,0.0,0.0,0.0,0.0,0.0,13490763.0,Convertible Note,3947281.0,,3.0,40472289.0,77,1
111,deepset,Private,3.0,For Profit,"48,217",Active,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software",51-100,$10M to $50M,,,Berlin, Berlin,Early Stage Venture,$10M to $50M,51-100,52.52,13.405,3.0,"['Artificial Intelligence (AI)', ' Data and Analytics', ' Internet Services', ' Science and Engineering', ' Software']",Technology and Software,-1,1,0,1,1,1,0,17.0,2018,2023.0,,,15.0,3.0,0,1,1,1,4.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,14000000.0,27000000.0,,,,,0.0,0.0,1.9285714285714288,0.0,0.0,0.0,0.0,45238704.0,Series B,29638704.0,,4.0,180954816.0,77,1
115,foviagenx holding/foviatech,Private,2.0,For Profit,"52,345",Active,"Artificial Intelligence (AI), Data and Analytics, Manufacturing, Science and Engineering, Software",11-50,$1M to $10M,,,Hamburg, Hamburg,Seed,$1M to $10M,11-50,53.5511,9.9937,2.0,"['Artificial Intelligence (AI)', ' Data and Analytics', ' Manufacturing', ' Science and Engineering', ' Software']",Technology and Software,-1,1,1,1,1,0,0,10.0,2018,2023.0,,,0.0,3.0,0,1,1,1,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,168000.0,1400000.0,,,,,,,8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,3888727.0,Convertible Note,2133692.0,,4.0,15554908.0,72,1
